City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,Kysyl-Syr,RU,63.8986,122.7617,51.28,83,100,8.66,overcast clouds
232,Pombas,CV,17.1503,-25.0201,76.78,88,95,12.88,overcast clouds
233,Kavieng,PG,-2.5744,150.7967,81.48,76,100,9.04,overcast clouds
234,Kindu,CD,-2.95,25.95,71.11,81,78,2.86,broken clouds
235,Chase,CA,50.8165,-119.6857,84.07,31,0,3.76,clear sky
236,Astorga,BR,-23.2325,-51.6656,82.63,51,10,5.1,clear sky
237,Khorramshahr,IR,30.4397,48.1664,102.16,16,0,6.91,clear sky
238,Vikhorevka,RU,56.1201,101.1636,54.99,88,73,3.42,broken clouds
239,Moron,AR,-34.6534,-58.6198,63.0,50,2,5.08,clear sky
240,Los Llanos De Aridane,ES,28.6585,-17.9182,74.12,83,40,17.27,scattered clouds
241,Longyearbyen,SJ,78.2186,15.6401,53.44,76,75,3.44,broken clouds
242,Chiredzi,ZW,-21.05,31.6667,68.13,61,73,7.34,broken clouds
243,Kurchum,KZ,48.5722,83.6542,60.01,53,11,8.68,few clouds
244,Jiblah,YE,13.9216,44.1467,67.37,54,100,5.93,overcast clouds
245,Tobane,BW,-21.95,27.9,59.81,69,93,5.21,overcast clouds
246,Warri,NG,5.5167,5.75,75.58,79,25,5.12,scattered clouds
247,Port Hawkesbury,CA,45.6169,-61.3485,73.35,96,100,11.01,overcast clouds
248,Ancud,CL,-41.8697,-73.8203,53.22,96,100,26.87,moderate rain
249,Tobermory,CA,45.2501,-81.6665,69.93,86,51,10.29,broken clouds
250,Great Yarmouth,GB,52.6083,1.7305,86.25,55,16,15.97,few clouds
251,Baihar,IN,22.1,80.55,71.53,98,100,4.27,overcast clouds
252,Flinders,AU,-34.5833,150.8552,51.19,89,62,5.99,light rain
253,Faanui,PF,-16.4833,-151.75,77.54,69,11,7.54,few clouds
254,Bukama,CD,-9.2,25.85,73.83,41,16,1.61,few clouds
255,Sao Filipe,CV,14.8961,-24.4956,77.97,82,78,7.76,broken clouds
256,Madimba,TZ,-10.4,40.3333,69.55,88,14,8.95,light rain
257,Fuling,CN,29.7022,107.3919,73.71,90,100,1.79,overcast clouds
258,Whitehorse,CA,60.7161,-135.0538,61.81,49,75,11.5,broken clouds
259,Noyabrsk,RU,63.1994,75.4507,57.45,66,93,7.96,overcast clouds
260,Svinninge,DK,55.7211,11.4655,73.04,65,0,6.22,clear sky
261,Nakapiripirit,UG,1.9167,34.7833,66.56,78,90,3.09,light rain
262,Kabirwala,PK,30.4068,71.8667,91.26,48,3,8.01,clear sky
263,Namibe,AO,-15.1961,12.1522,62.02,87,65,2.59,broken clouds
264,Shanting,CN,35.0753,117.4578,73.87,86,100,5.91,overcast clouds
265,Gobabis,NA,-22.45,18.9667,52.3,37,0,11.95,clear sky
266,Tecolotlan,MX,20.2167,-104.05,82.42,45,100,2.28,overcast clouds
267,Lukovetskiy,RU,64.2956,41.9211,60.17,98,100,7.92,light rain
268,Port Keats,AU,-14.25,129.55,66.9,75,93,3.53,overcast clouds
269,Paciran,ID,-6.8767,112.3761,76.37,84,91,7.96,overcast clouds
270,Las Vegas,US,36.175,-115.1372,107.04,20,0,6.91,clear sky
271,Taiyuan,CN,37.8694,112.5603,62.46,77,0,2.24,clear sky
272,Upernavik,GL,72.7868,-56.1549,45.41,73,100,4.97,overcast clouds
273,Esperance,AU,-33.8667,121.9,53.74,89,98,11.99,overcast clouds
274,Saldanha,ZA,-33.0117,17.9442,46.45,70,0,16.49,clear sky
275,Port Lincoln,AU,-34.7333,135.8667,50.49,65,96,10.07,overcast clouds
276,Huilong,CN,31.8111,121.655,80.92,91,100,4.34,overcast clouds
277,Touros,BR,-5.1989,-35.4608,77.43,77,22,17.29,few clouds
278,Rio Grande,BR,-32.035,-52.0986,62.71,78,0,6.26,clear sky
279,Pevek,RU,69.7008,170.3133,32.25,97,100,15.37,overcast clouds
280,Haines Junction,CA,60.7522,-137.5108,62.55,45,100,2.3,overcast clouds
281,Antsirabe,MG,-19.85,47.0333,50.32,82,100,10.54,overcast clouds
282,Bathsheba,BB,13.2167,-59.5167,85.05,86,40,17.27,scattered clouds
283,Leh,IN,34.1667,77.5833,67.84,40,28,4.63,scattered clouds
284,Aksarka,RU,66.5606,67.7975,55.15,75,0,5.59,clear sky
285,Barahona,DO,18.2085,-71.1008,91.22,66,20,16.11,few clouds
286,Khilok,RU,51.3674,110.4676,59.13,85,80,2.39,moderate rain
287,Yarmouth,US,41.7057,-70.2286,93.15,74,0,5.99,clear sky
288,Haimen,CN,23.1935,116.6142,80.49,90,100,3.15,overcast clouds
289,Danjiangkou,CN,32.5428,111.5086,70.79,93,100,3.8,overcast clouds
290,Maniitsoq,GL,65.4167,-52.9,46.51,87,99,10.09,overcast clouds
291,Lata,PT,40.1629,-8.3327,64.22,75,0,5.5,clear sky
292,Alugan,PH,12.2188,125.4808,82.06,82,23,9.44,few clouds
293,Gamba,GA,-2.65,10.0,71.38,89,100,4.23,overcast clouds
294,Inhambane,MZ,-23.865,35.3833,66.18,94,0,4.61,clear sky
295,Niamey,NE,13.5137,2.1098,84.49,65,20,6.91,thunderstorm
296,Pitea,SE,65.3172,21.4794,60.89,76,0,6.98,clear sky
297,Kitwe,ZM,-12.7961,28.2477,63.43,45,33,3.33,scattered clouds
298,Lompoc,US,34.6391,-120.4579,96.78,54,8,5.99,clear sky
299,Paamiut,GL,61.994,-49.6678,43.9,99,100,3.29,light rain
300,Severo-Kurilsk,RU,50.6789,156.125,52.3,96,100,13.31,overcast clouds
301,Fort Dodge,US,42.4975,-94.168,90.82,51,40,23.02,scattered clouds
302,Tondano,ID,1.3038,124.9112,66.29,81,100,0.51,overcast clouds
303,Neosho,US,36.869,-94.368,106.81,22,0,6.62,clear sky
304,Newport,GB,51.5877,-2.9984,79.39,78,12,13.51,few clouds
305,Karratha,AU,-20.7377,116.8463,66.4,58,0,7.36,clear sky
